date,return
2012-12-31 00:00:00+00:00,    0.002885
2013-01-31 00:00:00+00:00,    0.051664
2013-02-28 00:00:00+00:00,    0.012013
2013-03-31 00:00:00+00:00,    0.037308
2013-04-30 00:00:00+00:00,    0.019932
2013-05-31 00:00:00+00:00,    0.023478
2013-06-30 00:00:00+00:00,   -0.014696
2013-07-31 00:00:00+00:00,    0.052623
2013-08-31 00:00:00+00:00,   -0.029944
2013-09-30 00:00:00+00:00,    0.032085
2013-10-31 00:00:00+00:00,    0.045954
2013-11-30 00:00:00+00:00,    0.029477
2013-12-31 00:00:00+00:00,    0.025775
2014-01-31 00:00:00+00:00,   -0.035003
2014-02-28 00:00:00+00:00,    0.046152
2014-03-31 00:00:00+00:00,    0.008182
2014-04-30 00:00:00+00:00,    0.007277
2014-05-31 00:00:00+00:00,    0.022666
2014-06-30 00:00:00+00:00,    0.020745
2014-07-31 00:00:00+00:00,   -0.013540
2014-08-31 00:00:00+00:00,    0.039577
2014-09-30 00:00:00+00:00,   -0.013797
2014-10-31 00:00:00+00:00,    0.023655
2014-11-30 00:00:00+00:00,    0.027472
2014-12-31 00:00:00+00:00,   -0.002635
2015-01-31 00:00:00+00:00,   -0.029584
2015-02-28 00:00:00+00:00,    0.056307
2015-03-31 00:00:00+00:00,   -0.015708
2015-04-30 00:00:00+00:00,    0.009738
2015-05-31 00:00:00+00:00,    0.012664
2015-06-30 00:00:00+00:00,   -0.019932
2015-07-31 00:00:00+00:00,    0.022196
2015-08-31 00:00:00+00:00,   -0.060726
2015-09-30 00:00:00+00:00,   -0.025308
2015-10-31 00:00:00+00:00,    0.084409
2015-11-30 00:00:00+00:00,    0.003898
2015-12-31 00:00:00+00:00,   -0.016903
2016-01-31 00:00:00+00:00,   -0.049970
2016-02-29 00:00:00+00:00,   -0.001289
2016-03-31 00:00:00+00:00,    0.067859
2016-04-30 00:00:00+00:00,    0.003794
2016-05-31 00:00:00+00:00,    0.017255
2016-06-30 00:00:00+00:00,    0.003285
2016-07-31 00:00:00+00:00,    0.036419
2016-08-31 00:00:00+00:00,    0.001153
2016-09-30 00:00:00+00:00,    0.000335
2016-10-31 00:00:00+00:00,   -0.017844
2016-11-30 00:00:00+00:00,    0.036851
2016-12-31 00:00:00+00:00,    0.020591
2017-01-31 00:00:00+00:00,    0.017940
2017-02-28 00:00:00+00:00,    0.039286
2017-03-31 00:00:00+00:00,    0.001038
2017-04-30 00:00:00+00:00,    0.010140
2017-05-31 00:00:00+00:00,    0.013898
2017-06-30 00:00:00+00:00,    0.006334
2017-07-31 00:00:00+00:00,    0.020557
2017-08-31 00:00:00+00:00,    0.002754
2017-09-30 00:00:00+00:00,    0.020355
2017-10-31 00:00:00+00:00,    0.023488
2017-11-30 00:00:00+00:00,    0.030219
2017-12-31 00:00:00+00:00,    0.012742
2018-01-31 00:00:00+00:00,    0.056238
2018-02-28 00:00:00+00:00,   -0.037458
2018-03-31 00:00:00+00:00,   -0.025079
2018-04-30 00:00:00+00:00,    0.003682
2018-05-31 00:00:00+00:00,    0.023823
2018-06-30 00:00:00+00:00,    0.006157
2018-07-31 00:00:00+00:00,    0.036948
2018-08-31 00:00:00+00:00,    0.032037
2018-09-30 00:00:00+00:00,    0.005842
2018-10-31 00:00:00+00:00,   -0.068513
2018-11-30 00:00:00+00:00,    0.018658
2018-12-31 00:00:00+00:00,   -0.087670
2019-01-31 00:00:00+00:00,    0.079066
2019-02-28 00:00:00+00:00,    0.032049
2019-03-31 00:00:00+00:00,    0.019081
2019-04-30 00:00:00+00:00,    0.040197
2019-05-31 00:00:00+00:00,   -0.063273
2019-06-30 00:00:00+00:00,    0.069492
2019-07-31 00:00:00+00:00,    0.014671
2019-08-31 00:00:00+00:00,   -0.016543
2019-09-30 00:00:00+00:00,    0.019628
2019-10-31 00:00:00+00:00,    0.021660
2019-11-30 00:00:00+00:00,    0.036338
2019-12-31 00:00:00+00:00,    0.029251
